IPO Date,Symbol,Company Name,IPO Price,Current,Return
"May 9, 2019",NXTC,"NextCure, Inc.",$15.00,$5.19,-65.40%
"May 8, 2019",PSN,Parsons Corporation,$27.00,$30.69,13.67%
"May 7, 2019",LCA.D,"Landcadia Holdings II, Inc.",$10.00,$25.49,25.49%
"May 7, 2019",TRVI,"Trevi Therapeutics, Inc.",$10.00,$0.65,-93.55%
"May 6, 2019",TBBA,"TEB Bancorp, Inc.",$10.00,$9.55,-4.50%
"May 3, 2019",ATIF,ATIF Holdings Limited,$5.00,$4.05,-19.00%
"May 3, 2019",RRBI,"Red River Bancshares, Inc.",$45.00,$52.25,16.11%
"May 3, 2019",YJ,Yunji Inc.,$11.00,$0.64,-94.16%
"May 3, 2019",SCPL,SciPlay Corporation,$16.00,$12.49,-21.94%
"May 2, 2019",BYND,Beyond Meat Inc,$25.00,$58.01,132.04%
"May 2, 2019",TMDX,"TransMedics Group, Inc.",$16.00,$14.52,-9.25%
"May 2, 2019",SY,So-Young International Inc.,$13.80,$2.27,-83.55%
"Apr 30, 2019",WAFU,Wah Fu Education Group Limited,$5.00,$2.96,-40.80%
"Apr 18, 2019",HOOK,HOOKIPA Pharma Inc.,$14.00,$1.30,-90.71%
"Apr 18, 2019",PINS,"Pinterest, Inc.",$19.00,$24.51,29.00%
"Apr 18, 2019",GNLN,"Greenlane Holdings, Inc.",$17.00,$0.68,-95.99%
"Apr 18, 2019",ZM,"Zoom Video Communications, Inc.",$36.00,$137.94,283.17%
"Apr 18, 2019",MNRL,"Brigham Minerals, Inc.",$18.00,$22.18,23.22%
"Apr 17, 2019",PLMR,"Palomar Holdings, Inc.",$15.00,$51.75,245.00%
"Apr 17, 2019",TPTX,"Turning Point Therapeutics, Inc.",$18.00,$35.18,95.44%
"Apr 17, 2019",BWAY,Brainsway Ltd.,$11.00,$7.61,-30.82%
"Apr 12, 2019",JMIA,Jumia Technologies AG,$14.50,$8.40,-42.07%
"Apr 11, 2019",TUFN,Tufin Software Technologies Ltd.,$14.00,$8.56,-38.86%
"Apr 11, 2019",PD,"PagerDuty, Inc.",$24.00,$30.95,28.96%
"Apr 5, 2019",GHSI,"Guardion Health Sciences, Inc.",$4.00,$0.51,-87.22%
"Apr 4, 2019",SILK,"Silk Road Medical, Inc.",$20.00,$30.01,50.05%
"Apr 4, 2019",RPLA,Replay Acquisition,$10.00,$9.48,9.48%
"Apr 4, 2019",TW,Tradeweb Markets Inc.,$27.00,$83.72,210.07%
"Apr 4, 2019",NGM,"NGM Biopharmaceuticals, Inc.",$16.00,$15.05,-5.94%
"Apr 3, 2019",RUHN,Ruhnn Holding Limited,$12.50,$3.40,3.40%
"Apr 2, 2019",PBTS,Powerbridge Technologies Co. Ltd.,$5.00,$0.40,-92.10%
"Mar 29, 2019",PUYI,Puyi Inc.,$6.00,$6.55,9.17%
"Mar 29, 2019",LYFT,"Lyft, Inc.",$72.00,$36.36,-49.50%
"Mar 28, 2019",DTIL,"Precision BioSciences, Inc.",$16.00,$4.36,-72.75%
"Mar 28, 2019",JFK,8i Enterprises Acquisition,$10.00,$9.00,9.00%
"Mar 28, 2019",WTRE,Watford Holdings Ltd.,$25.26,$34.99,34.99%
"Mar 27, 2019",GNFT,Genfit S.A.,$22.00,$4.03,-81.68%
"Mar 21, 2019",LEVI,Levi Strauss &amp; Co.,$17.00,$22.34,31.41%
"Mar 20, 2019",INSU,Insurance Acquisition,$10.00,$11.66,11.66%
"Mar 20, 2019",TIGR,UP Fintech Holding Ltd.,$8.00,$4.01,-49.88%
"Mar 15, 2019",TRNE,Trine Acquisition,$10.00,$24.77,24.77%
"Mar 8, 2019",FUTU,Futu Holdings Limited,$12.00,$41.45,245.42%
"Mar 8, 2019",CRSA,Crescent Acquisition Corp.,$10.00,$8.81,8.81%
"Mar 7, 2019",SWAV,"ShockWave Medical, Inc.",$17.00,$143.94,746.71%
"Mar 5, 2019",THCB,Tuscan Holdings Corp.,$10.00,$10.00,10.00%
"Mar 1, 2019",HCAC,Hennessy Capital Acquisition Corp IV,$10.00,$19.49,19.49%
"Feb 28, 2019",SHLL,Tortoise Acquisition Corp.,$10.00,$44.91,44.91%
"Feb 28, 2019",KLDO,"Kaleido Biosciences, Inc.",$15.00,$1.65,-89.00%
"Feb 28, 2019",DPHC,DiamondPeak Holdings,$10.00,$18.21,18.21%
"Feb 26, 2019",SLGG,"Super League Gaming, Inc.",$11.00,$1.91,-82.64%
"Feb 22, 2019",ACAM.D,Acamar Partners Acquisition Corp.,$10.00,$12.30,12.30%
"Feb 19, 2019",SOLY,"Soliton, Inc.",$5.00,$22.58,351.60%
