Ticker,Listed Data,City,State,Number of employees,Industry,IPO Price,Current,Return,Year
VAQC,2021-03-10,SAN FRANCISCO,CA,3.0,BLANK CHECKS,10.0,9.73,-2.70%,2021
FRW,2021-04-30,NEW YORK,NY,1.0,BLANK CHECKS,10.0,9.71,-2.90%,2021
CLAA,2021-04-30,WEST PALM BEACH,FL,1.0,BLANK CHECKS,10.0,9.72,-2.80%,2021
AGGR,2021-04-30,NEWTON,MA,5.0,BLANK CHECKS,10.0,9.67,-3.27%,2021
RBLX,2021-03-10,SAN MATEO,CA,960.0,SERVICES-PREPACKAGED SOFTWARE,45.0,60.67,34.82%,2021
DTOC,2021-04-30,BELLEVUE,WA,2.0,BLANK CHECKS,10.0,9.71,-2.90%,2021
SBII,2021-04-30,NEW YORK,NY,3.0,BLANK CHECKS,10.0,9.72,-2.80%,2021
FRXB,2021-04-30,NEW YORK,NY,5.0,BLANK CHECKS,10.0,9.71,-2.90%,2021
SVFC,2021-03-09,SAN CARLOS,CA,2.0,BLANK CHECKS,10.0,9.85,-1.50%,2021
PDOT,2021-04-29,HOUSTON,TX,2.0,BLANK CHECKS,10.0,9.71,-2.90%,2021
ACQR,2021-04-29,NEW YORK,NY,3.0,BLANK CHECKS,10.0,9.71,-2.90%,2021
SVFB,2021-03-09,SAN CARLOS,CA,2.0,BLANK CHECKS,10.0,9.78,-2.20%,2021
LHAA,2021-03-05,NEW YORK,NY,3.0,BLANK CHECKS,10.0,9.67,-3.30%,2021
TWNT,2021-04-23,NEW YORK,NY,2.0,BLANK CHECKS,10.0,9.90,-1.00%,2021
IPVA,2021-04-26,NEW YORK,NY,5.0,BLANK CHECKS,10.0,9.70,-3.00%,2021
IPVF,2021-04-26,NEW YORK,NY,4.0,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",10.0,9.92,-0.80%,2021
FRSG,2021-04-26,STAMFORD,CT,3.0,BLANK CHECKS,10.0,9.83,-1.70%,2021
ATVC,2021-05-18,SAN FRANCISCO,CA,4.0,BLANK CHECKS,10.0,9.71,-2.90%,2021
IPVI,2021-04-26,NEW YORK,NY,4.0,BLANK CHECKS,10.0,9.74,-2.60%,2021
RXRA,2021-04-26,UNIONDALE,NY,3.0,BLANK CHECKS,10.0,9.73,-2.70%,2021
HERA,2021-04-26,QUAKERTOWN,PA,2.0,BLANK CHECKS,10.0,9.73,-2.70%,2021
ACAH,2021-04-26,NEW YORK,NY,5.0,BLANK CHECKS,10.0,9.87,-1.30%,2021
TRCA,2021-04-26,NAPLES,FL,2.0,BLANK CHECKS,10.0,9.71,-2.90%,2021
MBAC,2021-04-26,NEW YORK,NY,3.0,"COMMUNICATIONS SERVICES, NEC",10.0,9.99,-0.10%,2021
PSAG,2021-04-09,NEW YORK,NY,2.0,BLANK CHECKS,10.0,9.70,-3.00%,2021
INNV,2021-03-04,DENVER,CO,1800.0,SERVICES-HEALTH SERVICES,21.0,4.92,-76.57%,2021
ATAQ,2021-04-26,NEW YORK,NY,2.0,BLANK CHECKS,10.0,9.74,-2.60%,2021
KVSA,2021-03-04,MENLO PARK,CA,3.0,PHARMACEUTICAL PREPARATIONS,10.0,9.74,-2.60%,2021
MACC,2021-04-23,PHOENIX,AZ,3.0,BLANK CHECKS,10.0,9.71,-2.90%,2021
OSCR,2021-03-03,NEW YORK,NY,1839.0,HOSPITAL & MEDICAL SERVICE PLANS,39.0,6.26,-83.95%,2021
ROCR,2021-03-22,NEWPORT BEACH,CA,5.0,"WATER, SEWER, PIPELINE, COMM & POWER LINE CONSTRUCTION",10.0,9.98,-0.20%,2021
